emission_source_id,emission_source,emission_type_id,mapping_string
91275016,Tyres - Re-used,8146,tyres - re-used
91275017,Wood - Primary material production,8146,wood - primary material production
91275018,Wood - Recycled source,8146,wood - recycled source
91275019,Wood - Re-used,8146,wood - re-used
91275020,Desflurane,8150,desflurane
91275021,Sevoflurane,8150,sevoflurane
91275022,Isoflurane ,8150,isoflurane 
91275023,Anaesthetic Nitrous Oxide ,8150,anaesthetic nitrous oxide 
91275024,HFC-134a,8139,hfc-134a
91275025,HFC-32,8139,hfc-32
91275026,R404A,8139,r404a
91275027,R407C,8139,r407c
91275028,R410A,8139,r410a
91275029,R422D,8139,r422d
91275030,R422E,8139,r422e
91275031,R423A,8139,r423a
91275032,R424A,8139,r424a
91275033,R425A,8139,r425a
91275034,R426A,8139,r426a
91275035,R427A,8139,r427a
91275036,R428A,8139,r428a
91275037,R429A,8139,r429a
91275038,R430A,8139,r430a
91275039,R431A,8139,r431a
91275040,R432A,8139,r432a
91275041,R433A,8139,r433a
91275042,R433B,8139,r433b
91275043,R433C,8139,r433c
91275044,R434A,8139,r434a
91275045,R435A,8139,r435a
91275046,R436A,8139,r436a
91275047,R436B,8139,r436b
91275048,R437A,8139,r437a
91275049,R438A,8139,r438a
91275050,R439A,8139,r439a
91275051,R440A,8139,r440a
91275052,R441A,8139,r441a
91275053,R442A,8139,r442a
91275054,R443A,8139,r443a
91275055,R444A,8139,r444a
91275056,R445A,8139,r445a
91275057,R500,8139,r500
91275058,R501,8139,r501
91275059,R502,8139,r502
91275060,R503,8139,r503
91275061,R504,8139,r504
91275062,R505,8139,r505
91275063,R506,8139,r506
91275064,R507A,8139,r507a
91275065,R508A,8139,r508a
91275066,R508B,8139,r508b
91275067,R509A,8139,r509a
91275068,R510A,8139,r510a
91275069,R511A,8139,r511a
91275070,R512A,8139,r512a
91275071,R600 = Butane,8139,r600 = butane
91275072,R600A = Isobutane,8139,r600a = isobutane
91275073,R601 = Pentane,8139,r601 = pentane
91275074,R601A = Isopentane,8139,r601a = isopentane
91275075,Renewable Electricity Purchase Direct Supply,8149,renewable elec purchase direct supply
91275076,Renewable Heat Purchase Direct Supply,8149,renewable heat purchase direct supply
